Workflow,XLSX Tab,Test Case ID,Summary,Automatability,Dependency / Reason,Flow file (if implemented)
Install,Install,Setup 1,Download latest CommCare app,Automatable,"Handled by framework's APK-provisioning step, not a per-test flow",(handled by scripts/download_apk.py - no dedicated flow needed)
Install,Install,Install 1,Scan Barcode Install,Not automatable,Requires visiting HQ release page in a desktop browser and scanning a live on-screen barcode with the device camera,
Install,Install,Install 4,"Verifying ""See Apps for My User"" menu item",Automatable,,flows/install/install_04_see_apps_menu_item_visible.yaml
Install,Install,Install 5,Verifying mobile user login page fields,Automatable,,flows/install/install_05_mobile_user_login_page.yaml
Install,Install,Install 6,Verifying web user login page fields,Automatable,,flows/install/install_06_web_user_login_page.yaml
Install,Install,Install 7,Install app as mobile user,Partial,Needs a valid HQ mobile-worker username/domain/password (env vars); on-device flow itself is automatable,flows/install/install_07_install_as_mobile_user.yaml
Install,Install,Install 8,Install app as web user,Partial,Needs a valid HQ web-user email/password (env vars),flows/install/install_08_install_as_web_user.yaml
Update,Update,Set up,Ensure app workspace clean / make new version,Partial,HQ API: create new version if needed,hq_setup/update/setup_make_new_version.json
Update,Update,Install,Star + install latest build,Partial,"HQ API: mark build starred/released, then on-device install",hq_setup/update/install_mark_released.json
Update,Update,Make a change,Edit module/form name on HQ (arbitrary change),Not automatable,Ad-hoc HQ app-builder edit with no fixed target - inherently manual/exploratory,
Update,Update,Change update target,Enable dev options + set update target to Latest Saved State,Automatable,,flows/update/update_target_developer_options_flow.yaml
Update,Update,Update + Check for changes,Update App + verify change reflected,Automatable,,flows/update/update_target_developer_options_flow.yaml
Update,Update,Check for new build,Verify HQ auto-created a build with correct comment/timestamp,Not automatable,HQ release-page inspection in a browser,
Update,Update,Change update target back,Set target back to Latest Version,Automatable,,flows/update/update_target_developer_options_flow.yaml
Update,Update,Confirm that no update occurs if you try,Verify 'up to date' message,Automatable,,flows/update/update_target_developer_options_flow.yaml
Update,Update,Uninstall/Reinstall,Fresh Play Store install + old app version,Partial,Needs a specific old app build provisioned + a real Play Store install,
Update,Update,Interrupt update,Toggle airplane mode mid-download,Not automatable,Timing-critical manual airplane-mode toggle during a live download,
